YEAR,MALE,FEMALE,TOTAL
1981,20350,28517,48867
1982,21752,32201,53953
1983,17816,24665,42481
1984,16970,24581,41551
1985,18409,26860,45269
1986,20408,28930,49338
1987,23921,32429,56350
1988,24625,33395,58020
1989,22807,32938,55745
1990,25400,37749,63149
1991,24719,37745,62464
1992,25128,39026,64154
1993,26211,40179,66390
1994,26180,38351,64531
1995,22550,33692,56242
1996,24446,36467,60913
1997,20936,33123,54059
1998,14629,24380,39009
1999,14657,25850,40507
2000,19907,31124,51031
2001,20313,31741,52054
2002,22329,35391,57720
2003,22233,32904,55137
2004,26141,38783,64924
2005,27333,41695,69028
2006,32259,50708,82967
2007,30877,49722,80599
2008,27839,42961,70800
2009,31793,47925,79718
2010,36287,49788,86075
2011,34563,48847,83410
2012,34076,49564,83640
2013,31288,46940,78228
2014,32368,48321,80689
2015,40079,52919,92998
2016,37036,52318,89354
2017,33741,46038,79779
2018,30390,43329,73719
2019,25165,39999,65164
2020,5928,9775,15703
